id,name,Result
78,5988,is found in human_movement table
7023,Sebastião Salgado,✅ Found to fetch entity
24488,Ilya Repin,✅ Found to fetch entity
140,realism,is added movements table
140,realism,is found in movements table
140,24488,is added in human_movement table
140,24488,is found in human_movement table
25982,Olafur Eliasson,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,25982,is added in human_movement table
48,25982,is found in human_movement table
311,Giacomo Balla,✅ Found to fetch entity
44,Futurism,is found in movements table
44,311,is added in human_movement table
44,311,is found in human_movement table
987,Carlo Carrà,✅ Found to fetch entity
35,metaphysical painting,is found in movements table
35,987,is added in human_movement table
35,987,is found in human_movement table
44,Futurism,is found in movements table
44,987,is added in human_movement table
44,987,is found in human_movement table
2158,Eric Gill,✅ Found to fetch entity
34,Arts and Crafts movement,is found in movements table
34,2158,is added in human_movement table
34,2158,is found in human_movement table
2694,Josef Hoffmann,✅ Found to fetch entity
2943,Asger Jorn,✅ Found to fetch entity
114,COBRA,is found in movements table
114,2943,is added in human_movement table
114,2943,is found in human_movement table
141,Situationist International,is added movements table
141,Situationist International,is found in movements table
141,2943,is added in human_movement table
141,2943,is found in human_movement table
4243,Bruce Nauman,✅ Found to fetch entity
142,postminimalism,is added movements table
142,postminimalism,is found in movements table
142,4243,is added in human_movement table
142,4243,is found in human_movement table
23,conceptual art,is found in movements table
23,4243,is added in human_movement table
23,4243,is found in human_movement table
6329,Edward Weston,✅ Found to fetch entity
6655,Sophie Calle,✅ Found to fetch entity
7915,Stanisław Ignacy Witkiewicz,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,7915,is added in human_movement table
7,7915,is found in human_movement table
8103,Oscar Niemeyer,✅ Found to fetch entity
229,Eugène Atget,✅ Found to fetch entity
2843,Johannes Itten,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,2843,is added in human_movement table
7,2843,is found in human_movement table
3136,William Klein,✅ Found to fetch entity
3230,Jannis Kounellis,✅ Found to fetch entity
143,Arte Povera,is added movements table
143,Arte Povera,is found in movements table
143,3230,is added in human_movement table
143,3230,is found in human_movement table
4126,Robert Motherwell,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,4126,is added in human_movement table
87,4126,is found in human_movement table
6055,Suzanne Valadon,✅ Found to fetch entity
4,Post-impressionism,is found in movements table
4,6055,is added in human_movement table
4,6055,is found in human_movement table
11,Symbolism,is found in movements table
11,6055,is added in human_movement table
11,6055,is found in human_movement table
6464,Andrew Wyeth,✅ Found to fetch entity
39,Realism,is found in movements table
39,6464,is added in human_movement table
39,6464,is found in human_movement table
392,Willi Baumeister,✅ Found to fetch entity
982,Anthony Caro,✅ Found to fetch entity
64,abstract art,is found in movements table
64,982,is added in human_movement table
64,982,is found in human_movement table
48,contemporary art,is found in movements table
48,982,is added in human_movement table
48,982,is found in human_movement table
1777,Walker Evans,✅ Found to fetch entity
65,social realism,is found in movements table
65,1777,is added in human_movement table
65,1777,is found in human_movement table
2714,Jenny Holzer,✅ Found to fetch entity
23,conceptual art,is found in movements table
23,2714,is added in human_movement table
23,2714,is found in human_movement table
2920,Augustus John,✅ Found to fetch entity
4,Post-impressionism,is found in movements table
4,2920,is added in human_movement table
4,2920,is found in human_movement table
4285,Barnett Newman,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,4285,is added in human_movement table
87,4285,is found in human_movement table
27,Color Field,is found in movements table
27,4285,is added in human_movement table
27,4285,is found in human_movement table
4324,Isamu Noguchi,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,4324,is added in human_movement table
87,4324,is found in human_movement table
4546,A.R. Penck (Ralf Winkler),✅ Found to fetch entity
96,neo-expressionism,is found in movements table
96,4546,is added in human_movement table
96,4546,is found in human_movement table
6152,Maria Helena Vieira da Silva,✅ Found to fetch entity
80,School of Paris,is found in movements table
80,6152,is added in human_movement table
80,6152,is found in human_movement table
6622,Jeff Koons,✅ Found to fetch entity
8,pop art,is found in movements table
8,6622,is added in human_movement table
8,6622,is found in human_movement table
78,Postmodernism,is found in movements table
78,6622,is added in human_movement table
78,6622,is found in human_movement table
23,conceptual art,is found in movements table
23,6622,is added in human_movement table
23,6622,is found in human_movement table
104,Minimalism,is found in movements table
104,6622,is added in human_movement table
104,6622,is found in human_movement table
7569,Norman Foster,✅ Found to fetch entity
91,high-tech architecture,is found in movements table
91,7569,is added in human_movement table
91,7569,is found in human_movement table
26900,Josef von Sternberg,✅ Found to fetch entity
38,Magdalena Abakanowicz,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,38,is added in human_movement table
48,38,is found in human_movement table
209,Alexander Archipenko,✅ Found to fetch entity
144,Salon Cubism,is added movements table
144,Salon Cubism,is found in movements table
144,209,is added in human_movement table
144,209,is found in human_movement table
44,Futurism,is found in movements table
44,209,is added in human_movement table
44,209,is found in human_movement table
1,Cubism,is found in movements table
1,209,is added in human_movement table
1,209,is found in human_movement table
873,Daniel Buren,✅ Found to fetch entity
1341,Edward Curtis,✅ Found to fetch entity
4551,Roland Penrose,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,4551,is added in human_movement table
3,4551,is found in human_movement table
5242,Karl Schmidt-Rottluff,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,5242,is added in human_movement table
7,5242,is found in human_movement table
13,Impressionism,is found in movements table
13,5242,is added in human_movement table
13,5242,is found in human_movement table
8988,Renzo Piano,✅ Found to fetch entity
28982,Steve McQueen,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,28982,is added in human_movement table
48,28982,is found in human_movement table
248,Richard Avedon,✅ Found to fetch entity
511,Émile Bernard,✅ Found to fetch entity
28,Pont-Aven School,is found in movements table
28,511,is added in human_movement table
28,511,is found in human_movement table
47,Les Nabis,is found in movements table
47,511,is added in human_movement table
47,511,is found in human_movement table
26,pointillism,is found in movements table
26,511,is added in human_movement table
26,511,is found in human_movement table
30,cloisonnism,is found in movements table
30,511,is added in human_movement table
30,511,is found in human_movement table
145,Orientalism,is added movements table
145,Orientalism,is found in movements table
145,511,is added in human_movement table
145,511,is found in human_movement table
29,synthetism,is found in movements table
29,511,is added in human_movement table
29,511,is found in human_movement table
11,Symbolism,is found in movements table
11,511,is added in human_movement table
11,511,is found in human_movement table
2191,Albert Gleizes,✅ Found to fetch entity
144,Salon Cubism,is found in movements table
144,2191,is added in human_movement table
144,2191,is found in human_movement table
146,Section d'Or,is added movements table
146,Section d'Or,is found in movements table
146,2191,is added in human_movement table
